Date,0,1,2,3,4,5,6,7,8
5/1/2009,-1.230797116,-0.517596328,-0.34702113,1.849965718,-0.348435118,1.529115783,-7.19517274,13.12655669,91.98338224
4/30/2009,-0.071203133,-1.337517362,-0.790750122,1.909526218,-0.529553569,1.511645152,-7.192106901,13.24571056,92.05425216
4/29/2009,0.934133549,-1.576006691,-1.09275384,1.952932652,-0.715221561,1.495521238,-7.18766256,13.36385788,92.12520234
4/28/2009,0.703467938,-1.480599661,-1.195612408,1.980831961,-0.904053856,1.480576239,-7.181837497,13.48099721,92.19623207
4/27/2009,-0.654930991,-1.287823519,-1.10292361,1.993518154,-1.094318696,1.466642355,-7.174629492,13.59712715,92.26734065
4/24/2009,0.610529299,-0.380588676,-0.865200974,1.991148725,-1.284173457,1.453551784,-7.166036323,13.71224627,92.33852735
4/23/2009,-0.652327109,1.380402341,-0.541401045,1.974351718,-1.472252482,1.441136724,-7.156055771,13.82635314,92.40979148
4/22/2009,0.75617922,1.246454962,-0.184323678,1.943885233,-1.657320163,1.429229373,-7.144685616,13.93944636,92.48113231
4/21/2009,-0.879687587,-0.443377308,0.170889505,1.900507365,-1.838155045,1.417676084,-7.131923636,14.05152449,92.55254914
4/20/2009,0.936989928,-1.040995832,0.467379418,1.844976211,-2.013592283,1.406379815,-7.117767612,14.16258611,92.62404125
4/17/2009,1.079901132,-0.658452873,0.651702966,1.778049868,-2.182481181,1.395257678,-7.102215324,14.2726298,92.69560793
4/16/2009,0.877454851,-0.104089272,0.711955175,1.700486433,-2.343671045,1.384226785,-7.085264549,14.38165415,92.76724847
4/15/2009,-0.02443162,0.425875134,0.647567846,1.612091755,-2.496011183,1.373204249,-7.06691307,14.48965773,92.83896216
4/14/2009,-1.162159449,0.602076761,0.467232976,1.508862693,-2.638350899,1.362107181,-7.047158664,14.59663911,92.91074829
4/13/2009,1.134772546,0.19457683,0.204293661,1.385843858,-2.7695395,1.350852692,-7.025999112,14.70259689,92.98260614
4/9/2009,0.369428209,-0.312190395,-0.094879717,1.238079863,-2.888426292,1.339357896,-7.003432193,14.80752963,93.054535
